"subject" "activities" "timebodyaccelerationmean()x" "timebodyaccelerationmean()y" "timebodyaccelerationmean()z" "timegravityaccelerationmean()x" "timegravityaccelerationmean()y" "timegravityaccelerationmean()z" "timebodyaccelerationjerkmean()x" "timebodyaccelerationjerkmean()y" "timebodyaccelerationjerkmean()z" "timebodygyroscopemean()x" "timebodygyroscopemean()y" "timebodygyroscopemean()z" "timebodygyroscopejerkmean()x" "timebodygyroscopejerkmean()y" "timebodygyroscopejerkmean()z" "timebodyaccelerationmagnitudemean()" "timegravityaccelerationmagnitudemean()" "timebodyaccelerationjerkmagnitudemean()" "timebodygyroscopemagnitudemean()" "timebodygyroscopejerkmagnitudemean()" "frequencybodyaccelerationmean()x" "frequencybodyaccelerationmean()y" "frequencybodyaccelerationmean()z" "frequencybodyaccelerationjerkmean()x" "frequencybodyaccelerationjerkmean()y" "frequencybodyaccelerationjerkmean()z" "frequencybodygyroscopemean()x" "frequencybodygyroscopemean()y" "frequencybodygyroscopemean()z" "frequencybodyaccelerationmagnitudemean()" "frequencybodybodyaccelerationjerkmagnitudemean()" "frequencybodybodygyroscopemagnitudemean()" "frequencybodybodygyroscopejerkmagnitudemean()" "timebodyaccelerationstd()x" "timebodyaccelerationstd()y" "timebodyaccelerationstd()z" "timegravityaccelerationstd()x" "timegravityaccelerationstd()y" "timegravityaccelerationstd()z" "timebodyaccelerationjerkstd()x" "timebodyaccelerationjerkstd()y" "timebodyaccelerationjerkstd()z" "timebodygyroscopestd()x" "timebodygyroscopestd()y" "timebodygyroscopestd()z" "timebodygyroscopejerkstd()x" "timebodygyroscopejerkstd()y" "timebodygyroscopejerkstd()z" "timebodyaccelerationmagnitudestd()" "timegravityaccelerationmagnitudestd()" "timebodyaccelerationjerkmagnitudestd()" "timebodygyroscopemagnitudestd()" "timebodygyroscopejerkmagnitudestd()" "frequencybodyaccelerationstd()x" "frequencybodyaccelerationstd()y" "frequencybodyaccelerationstd()z" "frequencybodyaccelerationjerkstd()x" "frequencybodyaccelerationjerkstd()y" "frequencybodyaccelerationjerkstd()z" "frequencybodygyroscopestd()x" "frequencybodygyroscopestd()y" "frequencybodygyroscopestd()z" "frequencybodyaccelerationmagnitudestd()" "frequencybodybodyaccelerationjerkmagnitudestd()" "frequencybodybodygyroscopemagnitudestd()" "frequencybodybodygyroscopejerkmagnitudestd()"
1 "LAYING" 0.283658868070175 -0.0168954189082456 -0.110303165877193 0.958067455087719 -0.214694852280702 0.0331888826842105 0.0699585876912281 -0.0164831715964912 -0.00738931200701754 -0.025509618645614 -0.0744462466 0.0838808799280702 -0.0878891090105263 -0.0362308971842105 -0.0539597284210526 -0.166840713631579 -0.166840713631579 -0.195117026052632 -0.281207841122807 -0.321290483140351 -0.187934323140351 0.140781621991228 -0.498520164385965 -0.150942917824561 -0.0753742321614035 -0.541438616140351 -0.239650710533333 -0.341378429473684 -0.203575458733333 -0.201386607649123 -0.055401423331579 -0.329681123368421 -0.366500534122807 -0.296538717368421 0.164213884996491 -0.504324207192982 -0.977779896491228 -0.964248568070175 -0.957205025789474 -0.132784766936842 0.00808897373684211 -0.575777466491228 -0.446020952631579 -0.331702267894737 -0.383139334736842 -0.18260093354386 -0.416390246140351 -0.166684422233333 -0.266734167368421 -0.266734167368421 -0.0706029648421053 -0.36560291677193 -0.364708342315789 -0.34522769 0.101699642168947 -0.550474621754386 -0.19269469414386 0.0314450678263158 -0.608624354210526 -0.515323854385965 -0.332008706842105 -0.512209233508772 -0.421683093508772 -0.0964999702982456 -0.510648322631579 -0.408078906482456
1 "SITTING" 0.278582015166667 -0.0148399475341667 -0.11140306485 0.963999696833333 -0.0858540265666667 0.127764112666667 0.0783529082183333 0.00295602428666667 -0.000767679338333334 -0.0317982557795 -0.0726905278583333 0.0805677161216667 -0.115321556475 -0.0393474489133333 -0.0551166852766667 -0.312050574166667 -0.312050574166667 -0.366700879833333 -0.49779220106 -0.6813040365 -0.426719449666667 -0.14939963344 -0.631005470833333 -0.358883413666667 -0.279553391533333 -0.728991595666667 -0.373384540666667 -0.688460056666667 -0.601381129166667 -0.450804558333333 -0.318587811 -0.609285588016667 -0.724327420666667 -0.440829971333333 -0.0788267367683333 -0.586252806833333 -0.983826494833333 -0.967963221 -0.962968112 -0.297042612533333 -0.221165131581667 -0.7513913825 -0.500916659 -0.665394092833333 -0.662608226 -0.492341066833333 -0.807419937 -0.640454132833333 -0.527679103166667 -0.527679103166667 -0.316918956 -0.553116111166667 -0.7301463685 -0.447234929666667 -0.101799450565167 -0.594198325666667 -0.29732607245 -0.2099000063 -0.772359087333333 -0.542646759 -0.654657770166667 -0.716458475166667 -0.651172628166667 -0.320458701 -0.593937200833333 -0.757768081166667
1 "STANDING" 0.27784234625 -0.0172850317482679 -0.107741776464286 0.972624959821429 -0.100440285303571 0.00247623628392857 0.0845888833571429 -0.0163194101232143 8.32159351785732e-05 -0.0488919896632143 -0.0690135249642857 0.0815435495892857 -0.0888408355267857 -0.0449559531089286 -0.0482679596035714 -0.158338674394643 -0.158338674394643 -0.288333024071429 -0.355933083571429 -0.444532485357143 -0.287782607410714 0.00946037755178572 -0.490251090714286 -0.344954806428571 -0.181055554206071 -0.590496615535714 -0.372668749642857 -0.513951718392857 -0.213127031035714 -0.304992488892857 -0.269481661080357 -0.484262828928571 -0.548053574821429 -0.294098534232143 0.0767484028053571 -0.45702143625 -0.979348381428571 -0.961585474821429 -0.964580803928571 -0.302891024625 -0.0910397428607143 -0.612895318571429 -0.490877497857143 -0.504622029821429 -0.318700615178571 -0.357681403285714 -0.57143812375 -0.157682543983929 -0.377178733392857 -0.377178733392857 -0.282242276785714 -0.492176823571429 -0.48919974625 -0.297517355196429 0.0426026830839286 -0.483059957321429 -0.3213903195 -0.0545213604089286 -0.633429995714286 -0.529392790178571 -0.502683380535714 -0.420367075178571 -0.519636926071429 -0.305685376071429 -0.589741506785714 -0.455665300892857
1 "WALKING" 0.27486626812983 -0.0181502805692427 -0.109248084893354 0.925749440293663 -0.211044961839258 -0.0874039873987635 0.0768141832460587 0.0159879247920889 0.000500165218823803 -0.0314517570124884 -0.0704807621378563 0.0827784315209034 -0.0957028712672751 -0.0432956061531376 -0.050179888227527 -0.159781889284389 -0.159781889284389 -0.233354587857355 -0.259706704330139 -0.467011075591654 -0.273654211132148 -0.0327078609057187 -0.361673064999227 -0.290723024409227 -0.164011695800342 -0.475313302655332 -0.354903199560587 -0.372903202755178 -0.308756621258145 -0.264824483908532 -0.213448114890386 -0.408680733720247 -0.532915734440495 -0.297977235408362 -0.0115931356440031 -0.294659079364096 -0.977548137357032 -0.967108636707882 -0.953467873106646 -0.240875542081747 -0.100118311187821 -0.508739675237558 -0.475346415643277 -0.314230233795379 -0.33346364628609 -0.372498531520402 -0.530307355090572 -0.467580627270325 -0.32479709684493 -0.32479709684493 -0.215517972188424 -0.375561616968161 -0.529404483538485 -0.309067218527357 -0.064687543975085 -0.31600607612626 -0.257224548210309 -0.0915754055774343 -0.540950349351917 -0.514788800117094 -0.288527749036615 -0.404858236219474 -0.467298189296754 -0.22513475375459 -0.463029499799227 -0.559241988805255
1 "WALKING_DOWNSTAIRS" 0.276010992439024 -0.0173941138506504 -0.105249982262602 0.951679121382114 -0.20686184804878 -0.0671985194545529 0.0748130969563415 0.0163512045162602 -0.00655943673495935 -0.0363734547130081 -0.0710462314203252 0.0827269270211382 -0.0910883643853659 -0.0508972408699187 -0.0473172388565041 -0.223220662382114 -0.223220662382114 -0.318112209837398 -0.232069487183008 -0.516425285203252 -0.334998389325203 -0.140782312219512 -0.35804084300813 -0.349560924308943 -0.22454183404065 -0.489243552601626 -0.404338811626016 -0.357740515874878 -0.327878804471545 -0.317686782764228 -0.271536997878049 -0.458034292113821 -0.575975686422764 -0.352978195121951 -0.124681034082927 -0.246348671739837 -0.978818395528455 -0.966488647398374 -0.947793670325203 -0.324548622235772 -0.164259321021951 -0.52518752300813 -0.474660756829268 -0.262681532196748 -0.321263571365854 -0.425251896666667 -0.564329432764228 -0.504716165934959 -0.345045935528455 -0.345045935528455 -0.252918414381301 -0.405793432227642 -0.556594091300813 -0.361125045691057 -0.172439176870732 -0.248685536634146 -0.359239069837398 -0.155617605480569 -0.56037687504065 -0.500927983252032 -0.217764867963415 -0.383155986138211 -0.46349650699187 -0.23606786604439 -0.473524586585366 -0.56467275902439
1 "WALKING_UPSTAIRS" 0.276922402717042 -0.018057469273614 -0.108725464870418 0.933467414308682 -0.213204226832797 -0.0215975892369775 0.0765366620281833 0.0116878919185691 -0.00326728329480707 -0.0416931747575884 -0.0644843777028617 0.0946886000203376 -0.0877482970408151 -0.0476160821652412 -0.0594836903650322 -0.181767086608032 -0.181767086608032 -0.243732396667042 -0.286191432366543 -0.455508080001608 -0.314347984702653 -0.0517351972691318 -0.312831132806431 -0.324859001170418 -0.170674445329904 -0.413287784688103 -0.354304485478617 -0.402142471094486 -0.313550559178939 -0.287328405256109 -0.218904886320804 -0.400644224324148 -0.505053802613537 -0.331845357906752 -0.0483716661682476 -0.258032283521543 -0.976403485691318 -0.967582282009646 -0.955161244244373 -0.288199950399775 -0.11001948952576 -0.435516947637621 -0.477945621073955 -0.367813123434405 -0.334549482318006 -0.391127978326367 -0.49356562671865 -0.451009514701929 -0.355842322563794 -0.355842322563794 -0.21406913757492 -0.37969493186672 -0.47468928547627 -0.340112106046142 -0.108866500212701 -0.287715326607396 -0.314507687854662 -0.104594206396193 -0.457219946241318 -0.519208880122186 -0.354584926989871 -0.40374968763344 -0.499866532508039 -0.215094040563762 -0.475509711334084 -0.474459225381672
1 NA 0.27627955089172 -0.0184695269354713 -0.109762830522293 0.93315618955414 -0.13454784453121 -0.153717510446217 0.0775623163242038 0.0118756397948408 -0.00647093927127389 -0.0187555130478981 -0.0803991558756688 0.075830590956051 -0.113240123454306 -0.0376838760302548 -0.0549564464487898 -0.052196891400293 -0.052196891400293 -0.157962949032357 -0.209584700246242 -0.38160962533758 -0.297792434458599 -0.011726096277707 -0.14202001414414 -0.338542289617834 -0.142152482377516 -0.281535876336815 -0.273877107253503 -0.279288096598089 -0.253341989974522 -0.189611278845223 -0.15675921325172 -0.332311683736752 -0.400597930026561 -0.250830097503822 0.0215628711401274 -0.00468392369464968 -0.978663461847134 -0.966153854203822 -0.954643819872611 -0.273189210184713 -0.0400599581592357 -0.307147957399236 -0.401346747165605 -0.303409487012739 -0.254838625882166 -0.326625758026752 -0.375992744471975 -0.436806125477707 -0.252913783329936 -0.252913783329936 -0.17146547573121 -0.307182958640127 -0.38706618763121 -0.234494253574522 -0.0270456068343949 -0.0112315448897452 -0.272002099777006 0.00525283823821656 -0.331728822024204 -0.444300640592357 -0.326555138382166 -0.325300954910828 -0.408210057515924 -0.199314474917197 -0.411345384592357 -0.415052947148408
2 "LAYING" 0.268229355098039 -0.0272425385070588 -0.122082438784314 0.913632241568627 -0.340732608823529 -0.0184608964392157 0.07210675 0.00371343419607843 -0.00237816579411765 -0.0767406825588235 -0.0518981989072549 0.0664234025976471 -0.0652024492378431 -0.0457705354509804 -0.0576800048435294 0.0177790974433333 0.0177790974433333 -0.207379799254902 -0.12912124415098 -0.342895367921569 -0.131075372803922 0.0978035099588235 -0.42724809972549 -0.244812769960784 -0.122991594331373 -0.549314615882353 -0.115065008156863 -0.329653779629412 -0.0464142110215686 -0.0819479396203922 -0.169868234496078 -0.230627015078431 -0.45923633377451 -0.0501350188513725 0.189276117327451 -0.353519514896078 -0.959399425098039 -0.912900683137255 -0.906196352156863 -0.180301156098039 -0.0413994646723529 -0.560830688235294 -0.321973723647059 -0.315799901607843 -0.18390018167451 -0.186763293747059 -0.486494120980392 -0.170814790834118 -0.0791508842176471 -0.0791508842176471 -0.169970363039216 -0.199893710196078 -0.440079851313725 -0.0211335627276471 0.159123777172549 -0.36587418445098 -0.186815074235294 -0.0169811409705882 -0.571673957058824 -0.390248128039216 -0.31361857145098 -0.309998085098039 -0.222161433666667 -0.177734840922353 -0.318173892545098 -0.455937719019608
2 "SITTING" 0.270876696730769 -0.0319804295729615 -0.114219455519231 0.946264314423077 -0.232944304615385 0.0841675382884615 0.0560971909634615 0.0234018993153846 0.00340280836730769 0.0393825198942308 -0.0859471683596154 0.0843753843384615 -0.1314720713 -0.0390508828865385 -0.0722496260807692 -0.153703935357692 -0.153703935357692 -0.400922254807692 -0.299779407884615 -0.686978374423077 -0.294488270365385 -0.117109161492308 -0.524655722692308 -0.418304647307692 -0.297805187243462 -0.690106934230769 -0.3710689925 -0.684310201538462 -0.350765737115385 -0.276825498230769 -0.397406285 -0.575794072115385 -0.740749226346154 -0.204933042903846 -0.0666899105180769 -0.372137777692308 -0.958495235576923 -0.923376019038462 -0.919619453269231 -0.380488027307692 -0.281543175326923 -0.726495311923077 -0.454431043269231 -0.551185569230769 -0.360811047884615 -0.533666803846154 -0.840722752692308 -0.556236584807692 -0.212012300480769 -0.212012300480769 -0.437261477884615 -0.510974134423077 -0.755270457692308 -0.173217219014423 -0.101434446040385 -0.345109817692308 -0.396762584807692 -0.314525030788462 -0.762772175 -0.483548693461538 -0.489824279230769 -0.424533512307692 -0.301005898461538 -0.497324087307692 -0.552489628846154 -0.794209483076923
2 "STANDING" 0.268459469914894 -0.0325269755153191 -0.107471453914894 0.936821834893617 -0.265942569148936 -0.0232035364248936 0.0795443483829787 0.0140130363106383 -0.025590953282766 0.0395191121489362 -0.117195551802128 0.0424442819489362 -0.143029686361702 -0.0559895777393617 -0.0534895401 0.0435562021989362 0.0435562021989362 -0.247403476914894 -0.235516929306383 -0.47348816787234 -0.161485339978723 0.0728903158085106 -0.457470676808511 -0.289725470425532 -0.19681792087234 -0.606717464680851 -0.263615096246809 -0.516609046808511 -0.139801393244681 -0.169261525 -0.264674938957447 -0.392564530851064 -0.571344138723404 -0.0457237779851064 0.185022459476596 -0.308938978787234 -0.95357996893617 -0.900511719787234 -0.92141958 -0.223896564340426 -0.125026612744681 -0.63836903212766 -0.443342262340426 -0.440345826382979 -0.26545133312766 -0.305245202489362 -0.631822048297872 -0.282154378489362 -0.136736383765957 -0.136736383765957 -0.310186545957447 -0.354687870212766 -0.557988065531915 -0.00473819670425532 0.165037631180851 -0.28925665906383 -0.22532784293617 -0.105311152804255 -0.668825711276596 -0.501685580212766 -0.403486393191489 -0.380378006808511 -0.254091927148936 -0.378616675957447 -0.440445051914894 -0.572485019787234
